"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1666","RT @SenSchumer: Why won’t @realDonaldTrump use the power given to him by a near unanimous vote in Congress to hold Russia accountable for i…",FALSE,0,NA,2018-01-30 23:56:40,FALSE,NA,"958489169382158336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarkAndrewsSR",8000,TRUE,FALSE,NA,NA
"1667","RT @PeggyMeissner: @kurteichenwald @realDonaldTrump https://t.co/o1sTEvS1CW",FALSE,0,NA,2018-01-30 23:56:40,FALSE,NA,"958489169348714496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Blu_PHIlosopher",9,TRUE,FALSE,NA,NA
"1668","RT @EmilyDeck: .@PaulBegala on @CNN before tonight’s #SOTU: “Why is @realDonaldTrump tough on ISIS, but a wimp on Russia?”",FALSE,0,NA,2018-01-30 23:56:40,FALSE,NA,"958489168400625664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deborahc613",29,TRUE,FALSE,NA,NA
"1669","@MobutuJoffrey1 @girl4_trump @realDonaldTrump  https://t.co/fwkPgcwYq8",FALSE,1,"MobutuJoffrey1",2018-01-30 23:56:39,FALSE,"958360652065714177","958489166731464704","800726187135750145","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheSopranoDiva",0,FALSE,FALSE,NA,NA
"1670","RT @MoveOn: .@realdonaldtrump will waste our time pushing his racist plan during the #SOTU. Spare yourself &amp; join @aijenpoo, @CampesinasUni…",FALSE,0,NA,2018-01-30 23:56:39,FALSE,NA,"958489166270083072",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CarolK47",28,TRUE,FALSE,NA,NA
"1671","welp this is nice don't ya think @realDonaldTrump https://t.co/OdeI7Ry8Yi",FALSE,4,NA,2018-01-30 23:56:39,FALSE,NA,"958489165942984704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","britsburgh",0,FALSE,FALSE,NA,NA
"1672","RT @nateterani: If @realDonaldTrump you try to further undermine our democracy by firing Robert Mueller, then  American Veterans will lead…",FALSE,0,NA,2018-01-30 23:56:39,FALSE,NA,"958489165930250240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ConnieStarr",11802,TRUE,FALSE,NA,NA
"1673","RT @JHveem: @AMErikaNGIRLBOT @realDonaldTrump A bunch of fake news little pouting liberals! They are being let to slaughter like sheep!",FALSE,0,NA,2018-01-30 23:56:39,FALSE,NA,"958489165422845956",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Basketofdeplor4",1,TRUE,FALSE,NA,NA
"1674","RT @ExDemLatina: .@realDonaldTrump should just read part of Bill Clinton’s #SOTU address from 1995 word for word on Illegal Immigration.…",FALSE,0,NA,2018-01-30 23:56:39,FALSE,NA,"958489164990832640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LBoogy31",1550,TRUE,FALSE,NA,NA
"1675","@realDonaldTrump As always you are scamming Americans with fake information. The auto industry has a very limited r… https://t.co/0detl1HV0W",FALSE,0,"realDonaldTrump",2018-01-30 23:56:39,TRUE,"957603804383465472","958489164642742273","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kfretwel",0,FALSE,FALSE,NA,NA
"1676","RT @The_UnSilent_: After being lied to by @realDonaldTrump for a dreadful hour at the #SOTU it will be refreshing to hear from our rising s…",FALSE,0,NA,2018-01-30 23:56:39,FALSE,NA,"958489163845681155",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gaelicartguy",248,TRUE,FALSE,NA,NA
"1677","@clovesdshaw @realDonaldTrump I notice he hasnt tweeted about him pressuring McCabe to resign?  Someone in his cabinet must have his phone.",FALSE,1,"clovesdshaw",2018-01-30 23:56:38,FALSE,"958463309849571328","958489162503438336","303344103","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ericsmwia66",0,FALSE,FALSE,NA,NA
"1678","In other news, @realDonaldTrump is going to give his first State if The Union speech or whatever tonight. We’re gon… https://t.co/8Rh5AMg1TD",FALSE,0,NA,2018-01-30 23:56:38,TRUE,NA,"958489162453196800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chandaddi",0,FALSE,FALSE,NA,NA
"1679","@TresserMiller @Alloyjane @routine1988 @lostinvegas83 @realDonaldTrump It was $1,000,000 and you should check your… https://t.co/rWwnUWxj7P",FALSE,0,"TresserMiller",2018-01-30 23:56:38,TRUE,"958040926097694733","958489162415558657","530966254","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mikey_orlowski",0,FALSE,FALSE,NA,NA
"1680","RT @SenateMajLdr: .@realDonaldTrump had more new Circuit Court judges confirmed in his 1st year than any president, a testimony to the qual…",FALSE,0,NA,2018-01-30 23:56:38,FALSE,NA,"958489161685721088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sharrprime",1584,TRUE,FALSE,NA,NA
"1681","RT @realDonaldTrump: Congratulations to America’s new Secretary of @HHSGov, Alex Azar! https://t.co/Y9inQaCt7o",FALSE,0,NA,2018-01-30 23:56:38,FALSE,NA,"958489161023082496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","golfergirl107",14681,TRUE,FALSE,NA,NA
"1682","RT @UltraViolet: Before @realDonaldTrump addresses the nation tonight at the State of the Union, we have a message for Congress at Trump's…",FALSE,0,NA,2018-01-30 23:56:38,FALSE,NA,"958489160389681153",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheZenPuppy",870,TRUE,FALSE,NA,NA
"1683","@realDonaldTrump As American citizens we have the right to know the truth and this document Has to be released.The… https://t.co/3tC4KNezKO",FALSE,0,"realDonaldTrump",2018-01-30 23:56:38,TRUE,NA,"958489159122989056","25073877","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","leachman222",0,FALSE,FALSE,NA,NA
